episode,timestep,reward
43,800,18.5349
77,1600,22.7059
111,2400,24.2353
143,3200,24.9375
167,4000,32.875
190,4800,33.3043
210,5600,42.0
224,6400,55.5714
231,7200,106.7143
242,8000,79.1818
249,8800,111.5714
259,9600,80.6
264,10400,157.6
271,11200,112.0
277,12000,127.8333
280,12800,204.6667
286,13600,150.0
291,14400,184.8
294,15200,215.0
297,16000,269.0
301,16800,248.0
303,17600,326.0
308,18400,160.4
311,19200,207.0
314,20000,325.6667
318,20800,215.25
321,21600,297.3333
325,22400,199.25
328,23200,254.3333
330,24000,370.5
332,24800,341.5
335,25600,269.6667
337,26400,400.0
340,27200,325.3333
343,28000,245.0
346,28800,293.6667
348,29600,306.0
351,30400,261.3333
354,31200,334.3333
356,32000,323.5
358,32800,400.0
360,33600,377.5
363,34400,311.6667
365,35200,359.5
367,36000,400.0
369,36800,291.0
371,37600,400.0
373,38400,400.0
375,39200,400.0
377,40000,400.0
380,40800,387.0
382,41600,390.5
384,42400,291.5
387,43200,257.6667
389,44000,382.0
391,44800,400.0
393,45600,400.0
395,46400,400.0
398,47200,313.3333
400,48000,388.0
402,48800,400.0
404,49600,400.0
406,50400,400.0
409,51200,326.3333
411,52000,400.0
413,52800,400.0
415,53600,400.0
417,54400,300.5
419,55200,400.0
421,56000,400.0
424,56800,304.6667
426,57600,400.0
428,58400,400.0
430,59200,400.0
432,60000,400.0
434,60800,400.0
437,61600,256.3333
439,62400,340.0
442,63200,346.0
444,64000,367.0
446,64800,383.0
448,65600,361.0
450,66400,400.0
452,67200,400.0
454,68000,400.0
456,68800,400.0
458,69600,400.0
460,70400,400.0
463,71200,314.6667
465,72000,400.0
467,72800,400.0
469,73600,400.0
472,74400,281.3333
474,75200,287.0
476,76000,354.5
478,76800,400.0
480,77600,400.0
482,78400,400.0
484,79200,400.0
486,80000,400.0
488,80800,400.0
490,81600,374.0
492,82400,400.0
495,83200,336.6667
497,84000,294.0
499,84800,400.0
502,85600,283.3333
505,86400,289.3333
507,87200,366.0
510,88000,294.3333
512,88800,338.0
514,89600,400.0
516,90400,400.0
519,91200,390.6667
521,92000,400.0
523,92800,400.0
525,93600,374.0
527,94400,400.0
529,95200,400.0
531,96000,393.0
533,96800,400.0
535,97600,400.0
537,98400,400.0
539,99200,400.0
541,100000,389.5
