episode,timestep,reward
36,800,21.4444
70,1600,23.4706
100,2400,26.5
132,3200,25.75
154,4000,36.3636
175,4800,34.381
187,5600,67.3333
200,6400,66.3077
210,7200,74.2
218,8000,107.125
226,8800,99.5
232,9600,118.3333
236,10400,219.0
239,11200,201.6667
243,12000,225.0
246,12800,264.0
248,13600,370.0
250,14400,305.0
255,15200,227.0
257,16000,321.5
260,16800,335.3333
262,17600,274.5
265,18400,321.3333
268,19200,280.6667
270,20000,354.5
272,20800,320.0
275,21600,330.3333
278,22400,254.6667
280,23200,281.5
282,24000,400.0
285,24800,335.3333
287,25600,309.0
289,26400,382.5
292,27200,391.0
294,28000,310.5
296,28800,400.0
298,29600,367.5
301,30400,302.0
303,31200,379.5
305,32000,336.5
307,32800,369.5
310,33600,333.0
312,34400,380.5
315,35200,341.6667
317,36000,375.0
319,36800,400.0
321,37600,377.0
323,38400,391.0
325,39200,400.0
327,40000,400.0
329,40800,366.5
331,41600,366.0
333,42400,400.0
335,43200,400.0
337,44000,400.0
339,44800,384.5
343,45600,252.5
346,46400,279.6667
348,47200,254.0
352,48000,278.25
354,48800,308.5
356,49600,400.0
359,50400,323.3333
361,51200,322.5
364,52000,297.0
366,52800,323.0
369,53600,323.3333
373,54400,201.5
375,55200,329.0
378,56000,321.6667
380,56800,307.0
382,57600,400.0
384,58400,400.0
386,59200,400.0
388,60000,400.0
390,60800,400.0
392,61600,400.0
394,62400,400.0
396,63200,400.0
398,64000,400.0
400,64800,400.0
402,65600,400.0
404,66400,400.0
406,67200,400.0
408,68000,381.5
410,68800,389.5
412,69600,400.0
414,70400,386.0
416,71200,400.0
418,72000,400.0
420,72800,400.0
422,73600,400.0
424,74400,400.0
426,75200,400.0
428,76000,400.0
430,76800,400.0
432,77600,400.0
434,78400,400.0
436,79200,400.0
438,80000,400.0
440,80800,368.5
442,81600,400.0
445,82400,365.0
447,83200,400.0
449,84000,400.0
451,84800,400.0
453,85600,400.0
455,86400,400.0
457,87200,400.0
459,88000,338.0
461,88800,382.5
463,89600,399.0
465,90400,400.0
467,91200,400.0
469,92000,400.0
471,92800,400.0
474,93600,299.0
476,94400,400.0
479,95200,290.6667
482,96000,258.6667
484,96800,400.0
486,97600,400.0
488,98400,400.0
490,99200,400.0
492,100000,331.0
